Content type,Material type,ISBN,Name,Role,All names,Title,Variant titles,Series title,Country of publication,Publisher,Year of publication,Edition,Topics,Genres,Languages
Language material ; Text,Volume,9780140504231,Roald Dahl,,Roald Dahl ; Quentin Blake,Roald Dahl's revolting rhymes,,Picture Puffins,England,Puffin,1984,,Poetry in English--1900-1945--Texts,,English
Language material ; Text,Volume,9780140504354,Roald Dahl,,Roald Dahl ; Quentin Blake,Dirty beasts,,Picture Puffins,England,Puffin,1986,,"Children's poetry, English ; English poetry ; Poetry in English--1900-1945--Texts ; Animals--Juvenile poetry ; Humorous poetry ; Animals--Poetry",,English
Language material ; Text,Volume,9780140505665,Roald Dahl,,Roald Dahl ; Quentin Blake,The giraffe and the pelly and me,,Picture puffins,England,Puffin,1987,,Children's stories in English--1945---Texts,,English
Language material ; Text,Volume,9780140543711,Roald Dahl,,Patrick Benson ; Roald Dahl,The minpins,,,England,Puffin,1993,,Imaginary societies--Pictorial works--Juvenile fiction ; Midgets--Pictorial works--Juvenile fiction ; Boys--Pictorial works--Juvenile fiction,Children's fiction ; Pictorial work,English
Language material ; Text,Volume,9780140568219,Roald Dahl,,Patrick Benson ; Roald Dahl,The minpins,,,England,Puffin,2001,,Midgets--Juvenile fiction,Children's fiction,English
Language material ; Text,Volume,9780140568240,Roald Dahl,,Roald Dahl ; Quentin Blake,Revolting rhymes,,,England,Puffin,2001,,"Fairy tales ; Children's stories, English",,English
Language material ; Text,Volume,9780140816297,Roald Dahl,,Roald Dahl,"Ten short stories : educational edition with introduction, extensive exercises and glossaries",,,England,Penguin,1996,,,,English
Language material ; Text,Volume,9780140314922 ; 9780140868395 ; 9780140868692,Roald Dahl,,Roald Dahl ; Quentin Blake,George's marvellous medicine,,,England,Puffin,1998,,Magic--Fiction ; Grandmothers--Fiction,Children's fiction ; Fiction,English
Language material ; Text,Volume,9780141305530,Roald Dahl,,Roald Dahl,Skin and other stories,Short stories. Selections,,England,Puffin,2000,,"Young adult fiction, English",,English
Language material ; Text,Volume,9780141307534,Roald Dahl,,Roald Dahl ; Quentin Blake,Fantastic Mr Fox,,Young Puffin modern classics,England,Puffin,2000,,Farmers--Juvenile fiction ; Foxes--Juvenile fiction,Children's fiction,English
Language material ; Text,Volume,9780141307565,Roald Dahl,,Roald Dahl ; Quentin Blake,James and the giant peach,,Puffin modern classics,England,Puffin,2000,,,Children's fiction,English
Language material ; Text,Volume,9780141310848,Roald Dahl,,David Wood ; Roald Dahl,The witches : plays for children,,,England,Puffin,2001,,Children's plays--Juvenile fiction ; Great Britain--Juvenile fiction,Children's fiction,English
Language material ; Text,Volume,9780141311272,Roald Dahl,,Roald Dahl,The giraffe and the pelly and me,,,England,Puffin,2001,,,,English
Language material ; Text,Volume,9780141311296,Roald Dahl,,Roald Dahl ; Quentin Blake,The magic finger,,,England,Puffin,2001,"New edition, illustrated by Quentin Blake",Hunting--Moral and ethical aspects--Juvenile fiction ; Magic--Juvenile fiction ; Hunters--Juvenile fiction,Children's fiction,English
Language material ; Text,Volume,9780141311302,Roald Dahl,,Roald Dahl ; Quentin Blake,Charlie and the chocolate factory,,,England,Puffin,2001,,"Bucket, Charlie (Fictitious character)--Juvenile fiction ; Chocolate factories--Juvenile fiction ; Wonka, Willy (Fictitious character)--Juvenile fiction",Children's fiction ; Fantasy,English
Language material ; Text,Volume,9780141311326,Roald Dahl,,Roald Dahl ; Quentin Blake,Danny the champion of the world,,,England,Puffin,2001,,Criminals--Juvenile fiction ; Fathers and sons--Juvenile fiction,Children's fiction,English
Language material ; Text,Volume,9780141311333,Roald Dahl,,Roald Dahl ; Quentin Blake,Esio trot,,,England,Puffin,2001,,Testudinidae--Juvenile fiction ; Bashfulness--Juvenile fiction,Children's fiction ; Humour or satire,English
Language material ; Text,Volume,9780141311340,Roald Dahl,,Roald Dahl,George's marvellous medicine,,,England,Puffin,2001,,,,English
Language material ; Text,Volume,9780141311364,Roald Dahl,,Roald Dahl ; Quentin Blake,Matilda,,,England,Puffin,2001,,,,English
Language material ; Text,Volume,9780141311371,Roald Dahl,,Roald Dahl ; Quentin Blake,The BFG,,,England,Puffin,2001,,Giants--Juvenile fiction,Children's fiction ; Humour or satire,English
Language material ; Text,Volume,9780141311388,Roald Dahl,,Roald Dahl ; Quentin Blake,The Twits,,,England,Puffin,2001,,Revenge--Juvenile fiction ; Disorderly conduct--Juvenile fiction,Children's fiction ; Humour or satire,English
Language material ; Text,Volume,9780141311395,Roald Dahl,,Roald Dahl ; Quentin Blake,The Witches,,,England,Puffin,2001,3rd edition,Witches--Juvenile fiction,Children's fiction,English
Language material ; Text,Volume,9780141311494,Roald Dahl,,Roald Dahl,The wonderful story of Henry Sugar and six more,,,England,Puffin,2001,,"Young adult fiction, English",,English
Language material ; Text,Volume,9780141311500,Roald Dahl,,Roald Dahl,The great automatic grammatizator and other stories,,,England,Puffin,2001,,,,English
Language material ; Text,Volume,9780141314563,Roald Dahl,,Roald Dahl ; Quentin Blake,Matilda,,Puffin modern classics,England,Puffin,2003,,,,English
Language material ; Text,Volume,9780141315966,David Wood,,Roald Dahl ; David Wood,"Roald Dahl's The Twits, plays for children",Twits,,England,Puffin,2003,,,,English
Language material ; Text,Volume,9780146000553,Roald Dahl,,Roald Dahl,Lamb to the slaughter and other stories,Collected short stories of Roald Dahl. Selections,Penguin 60s,England,Penguin,1995,,English fiction--Short stories,,English
Language material ; Text,Volume,9780146003264,Roald Dahl,,Roald Dahl,The great mouse plot and other tales of childhood,Boy,Penguin children's 60s,England,Penguin,1996,,English fiction--Short stories,,English
Language material ; Text,Volume,9780001018082 ; 9780007157198,Roald Dahl,,,Roald Dahl reads 2 favourite stories.\Charlie and the chocolate factory. James and the giant peach. (2 acas),,,,HarperCollins,2002,,,,English
Language material ; Text,Volume,9780007157075,Roald Dahl,,,Roald Dahl reads Charlie and the chocolate factory,,,,HarperCollins,2002,,,,English
Language material ; Text,Volume,9780007157198 ; 9780007158072,,,,Roald Dahl reads 2 favourite stories.\The enormous crocodile. The magic finger. (2 acas),,,,HarperCollins,2002,,,,English
Language material ; Text,Volume,9780718106973,Roald Dahl,,,Twenty-nine kisses from Roald Dahl,,,England,Joseph,1969,,,,English
Language material ; Text,Volume,9780670880256,Roald Dahl,,Roald Dahl ; Quentin Blake,Fantastic Mr Fox,,,England,Puffin,1998,New edition,Foxes--Juvenile fiction,Children's fiction,English
Language material ; Text,Volume,9780140314069,Roald Dahl,,Roald Dahl ; Quentin Blake,The Twits,,,England,Puffin,1983,,Children's stories in English--1900-1945--Texts,,English
Language material ; Text,Volume,9780140041798,Roald Dahl,,,Switch bitch,,,England,Penguin,1983,,Short stories in English--1900-1945--Texts,,English
Language material ; Text,Volume,9780140503425,Roald Dahl,,Roald Dahl ; Quentin Blake,The enormous crocodile,,Picture Puffins,England,Puffin,1983,,Children's stories in English--1900-1945--Texts,,English
Language material ; Text,Volume,,Roald Dahl,,Quentin Blake ; British Railways Board ; Roald Dahl,Roald Dahl's guide to railway safety,,,England,British Railways Board,1991,,Railways--Safety ; Railroads--Great Britain ; Safety education--Great Britain ; Railroads--Safety regulations--Great Britain,,English
Language material ; Text,Volume,9780199104345 ; 9780199104406 ; 9780199186549,"Shavick, Andrea",,Alan Marks ; Andrea Shavick,Roald Dahl : the champion storyteller,,What's their story?,England,Oxford University Press,1997,,"Authors, English--20th century--Biography--Juvenile literature ; Roald Dahl--Biography--Juvenile literature",,English
Language material ; Text,Volume,9780431086071 ; 9780431086149,Haydn Middleton,,,Roald Dahl,,Heinemann profiles,England,Heinemann Library,1998,,"Authors, English--20th century--Biography--Juvenile literature ; Roald Dahl--Biography--Juvenile literature",,English
Language material ; Text,Volume,9781857159240,Roald Dahl,,Roald Dahl ; Quentin Blake,The BFG,,,England,Children's Classics ; Everyman,1993,,English fiction--Children's stories,,English
Language material ; Text,Volume,9780670914661,Roald Dahl,,Roald Dahl ; Quentin Blake,Charlie and the chocolate factory,,,England,Viking,2004,40th anniversary edition,"Bucket, Charlie (Fictitious character)--Juvenile fiction",Children's fiction,English
Language material ; Text,Volume,9780750244916,Jason Hook,,,Roald Dahl : the storyteller,,Famous lives,England,Hodder Wayland,2004,,"Roald Dahl--Juvenile literature ; Novelists, English--20th century--Biography--Juvenile literature",Biography ; Children's literature,English
Language material ; Text,Volume,9780431179919,Victoria Parker,,,All about Roald Dahl,Roald Dahl,,England,Heinemann Library,2004,,"Roald Dahl--Juvenile literature ; Novelists, English--20th century--Biography--Juvenile literature",Biography ; Children's literature,English
Language material ; Text,Volume,9780670914166,Wendy Cooling,,,D is for Dahl,,,England,Puffin,2004,,"Roald Dahl--Miscellanea--Juvenile literature ; Authors, English--20th century--Miscellanea--Juvenile literature",Children's literature,English
Language material ; Text,Volume,9781904357032,Roald Dahl,,Quentin Blake ; Elin Meek ; Roald Dahl,Yr CMM,BFG. Welsh,,Wales,Rily Publications,2003,,Giants--Juvenile fiction,Children's fiction,Welsh
Language material ; Text,Volume,9780670914531,Roald Dahl,,Roald Dahl ; Quentin Blake,Charlie and the chocolate factory,,,England,Puffin,2004,40th anniversary edition,"Bucket, Charlie (Fictitious character)--Juvenile fiction",Children's fiction,English
Language material ; Text,Volume,9780573051388,David Wood,,Roald Dahl ; David Wood,"James and the giant peach, by Roald Dahl",James and the giant peach,,England,Samuel French,2004,,"Children's plays, English",,English
Language material ; Text,Volume,9780340884485,Clive Gifford,,,So you think you know Roald Dahl?,,,England,Hodder Children's,2004,,Roald Dahl--Miscellanea--Juvenile literature,Children's literature,English
Language material ; Text,Volume,9788497730822," 	
Bel�n Gonz�lez Cascallana",,,Translation and intertextuality : a descriptive study of contemporary British children fantasy literature in Spain (1970-2000),,Serie Tesis doctorales (Universidad de León),Spain,"Universidad de León, Secretariado de Publicaciones y Medios Audiovisuales",2003,,"Translating and interpreting ; Adams, Richard, 1920-2016--Translations into Spanish--History and criticism ; Roald Dahl--Translations into Spanish--History and criticism ; Children's literature, English--Translations into Spanish--History and criticism ; Rowling, J. K.--Translations into Spanish--History and criticism",,English ; Spanish
Language material ; Text,Volume,9780141022987,Roald Dahl,,,A taste of the unexpected,,Pocket Penguins,England,Penguin,2005,,,,English
Language material ; Text,Volume,9780141319902,Roald Dahl,,,Charlie and the chocolate factory,,,England,Puffin,2005,,"Bucket, Charlie (Fictitious character)--Juvenile fiction",Children's fiction,English
Language material ; Text,Volume,9780141319919,Kay Woodward,,Kay Woodward ; Roald Dahl,The whipple-scrumptious joke book,Charlie and the chocolate factory,,England,Puffin,2005,,"Wit and humor, Juvenile",,English
Language material ; Text,Volume,9780141319933,Roald Dahl,,,Charlie and the chocolate factory : an abridged version of the original best-loved story,,,England,Puffin,2005,,"Bucket, Charlie (Fictitious character)--Juvenile fiction",Children's fiction,English
Language material ; Text,Volume,9781405310161,Amanda Li,,,Roald Dahl's Charlie and the chocolate factory,,,England,Funfax,2005,,Charlie and the chocolate factory (Motion picture),,English
Language material ; Text,Volume,9781844227273,Roald Dahl,,,Charlie and the chocolate factory activity book,,,England,Ladybird,2005,,Toy and movable books ; Charlie and the chocolate factory (Motion picture),,English
Language material ; Text,Volume,9780141312729,,,Quentin Blake ; Wendy Cooling,D is for Dahl : a gloriumptious A-Z guide to the world of Roald Dahl,,,England,Puffin,2005,,"Roald Dahl--Miscellanea--Juvenile literature ; Authors, English--20th century--Miscellanea--Juvenile literature",Children's literature,English
Language material ; Text,Volume,9789637276071,Roald Dahl,,,Roald Dahl meghökkentő élete,Boy. Hungarian ; Going solo,,Hungary,Sirály,2005,,"Authors, English--20th century--Biography--Juvenile literature--Translations into Hungarian ; Roald Dahl",Biography ; Children's literature ; Translations into Hungarian,Hungarian
Language material ; Text,Volume,9780224070386,Roald Dahl,,,Songs and verse,,,England,Jonathan Cape,2005,,"English language--Rhythm ; Children's poetry, English",,English
Language material ; Text,Volume,9780582274976,Michael Caldon,,Michael Caldon ; Roald Dahl,Taste and other tales,,Longman fiction,England,Longman,1996,Simplified edition,Readers,,English
Language material ; Text,Volume,9781844227259,Roald Dahl,,,Charlie and the chocolate factory. Colour and draw,,,,Ladybird,2005,,,,English
Language material ; Text,Volume,9781844227266,Roald Dahl,,,Charlie and the chocolate factory. sticker book,,,,Ladybird,2005,,,,English
Language material ; Text,Volume,9780141319643,Roald Dahl,,Roald Dahl ; Quentin Blake,Charlie and the chocolate factory,,,England,Puffin,2005,,"Bucket, Charlie (Fictitious character)--Juvenile fiction",Children's fiction,English
Language material ; Text,Volume,9780141500676,Roald Dahl,,Roald Dahl ; Quentin Blake,Charlie and the chocolate factory,,Puffin audiobooks,England,Puffin,2005,,"Bucket, Charlie (Fictitious character)--Juvenile fiction",Children's fiction,English
Language material ; Text,Volume,9780140374681,Roald Dahl,,Roald Dahl ; Quentin Blake,Matilda,,,England,Puffin,1996,Film and TV tie-in edition,"Humorous stories, English--Juvenile fiction ; Magic--Juvenile fiction",Children's fiction,English
Language material ; Text,Volume,9780140118476,Roald Dahl,,Roald Dahl,"Ah, sweet mystery of life : the country stories of Roald Dahl",,,England,Penguin,2003,,Country life--Fiction,,English
Language material ; Text,Volume,9781904730255,Ailig O'Henley,,,Roald Dahl,,Beatha le buaidh,Scotland,Cn?an ; Strlann,2005,,"Roald Dahl--Juvenile literature ; Novelists, English--20th century--Biography--Juvenile literature ; Children's stories--Authorship--Juvenile literature",Biography ; Children's literature,Gaelic
Language material ; Text,Volume,9781845020972,Roald Dahl,,Quentin Blake ; Michael Fitt ; Roald Dahl,The eejits,Twits. Scots,,Scotland,Itchy Coo,2006,,,Children's fiction,Scots
Language material ; Text,Volume,9780141321899,,,Quentin Blake ; Kay Woodward,The Dahlmanac : a year with Roald Dahl : fun facts and jokes,,,England,Puffin,2006,,Roald Dahl--Miscellanea--Juvenile literature,Children's literature,English
Language material ; Text,Volume,9780307264909 ; 9781841593005,Roald Dahl,,Jeremy Treglown ; Roald Dahl,Roald Dahl collected stories,Collected stories,,England ; United States of America,Everyman,2006,,"Children's stories, English",,English
Language material ; Text,Volume,9780439944922,Huw Thomas,,,Activities based on James and the giant peach by Roald Dahl : for KS2,,Read & respond,England,Scholastic,2006,,Reading (Elementary)--Great Britain ; Roald Dahl--Study and teaching (Elementary),,English
Language material ; Text,Volume,9780439944946,Celia Warren,,,Activities based on The Twits by Roald Dahl : for KS2,,Read & respond,England,Scholastic,2006,,Reading (Elementary)--Great Britain ; Roald Dahl--Study and teaching (Elementary),,English
Language material ; Text,Volume,9781405661591,Roald Dahl,,Roald Dahl ; Quentin Blake,James and the giant peach,,,England,Galaxy,2006,Large print edition,,Children's fiction ; Large print,English
Language material ; Text,Volume,9780573150166,David Wood,,Roald Dahl ; David Wood,Danny the champion of the world,,,England,Samuel French,2006,,"Children's plays, English",,English
Language material ; Text,Volume,9780439945165,,,,Activities based on The BFG,,Read & respond,England,Scholastic,2007,,Reading (Elementary) ; Roald Dahl,,English
Language material ; Text,Volume,9781405661560,Roald Dahl,,Roald Dahl ; Quentin Blake,Charlie and the chocolate factory,,,England,Galaxy,2007,Large print edition,"Bucket, Charlie (Fictitious character)--Juvenile fiction ; Large type books",Children's fiction,English
Language material ; Text,Online resource,,Elizabeth O'Reilly,,University of Hull ; Elizabeth O'Reilly,"The child and the adult in contemporary children's literature : Roald Dahl, Anne Fine, Diana Wynne Jones, J. K. Rowling",,,England,University of Hull,2005,,,,English
Language material ; Text,Volume,9781405661577,Roald Dahl,,Roald Dahl ; Quentin Blake,Charlie and the great glass elevator,,,England,Galaxy,2007,Large print edition,"Bucket, Charlie (Fictitious character)--Juvenile fiction",Children's fiction ; Large print,English
Language material ; Text,Audiobook,9780563528715,Roald Dahl,,,Further Tales of the Unexpected,,BBC Radio Collection,England,BBC Consumer Publishing,2002,,,,English
Language material ; Text,Volume,9780141323053,Roald Dahl,,Roald Dahl ; Quentin Blake,George's marvellous medicine,,,England,Puffin,2007,,,Children's fiction ; Humour or satire,English
Language material ; Text,Volume,9780141323411,Roald Dahl,,,Charlie and the chocolate factory,,,England,Puffin,2007,,Charlie (Fictitious character)--Juvenile fiction,Adventure ; Children's fiction,English
Language material ; Text,Volume,9780141323428,Roald Dahl,,Roald Dahl ; Quentin Blake,The Twits,,,England,Puffin,2007,,,Children's fiction,English
Language material ; Text,Volume,9780141323435,Roald Dahl,,,Matilda,,,England,Puffin,2007,,,Children's fiction ; Humour or satire,English
Language material ; Text,Volume,9780141323176,,,Quentin Blake ; Kay Woodward,Dahlmanac 2 : fun facts and jokes with Roald Dahl,,,England,Puffin,2007,,Roald Dahl--Miscellanea--Juvenile literature,Children's literature,English
Language material ; Text,Volume,9780141323442,Roald Dahl,,Roald Dahl ; Quentin Blake,The BFG,,My Roald Dahl,England,Puffin,2007,,Giants--Juvenile fiction,Children's fiction ; Humour or satire,English
Language material ; Text,Volume,9780141500980,Roald Dahl,,,Songs and verse,,,England,Puffin,2007,,"Children's poetry, English",,English
Language material ; Text,Volume,9780141322629,Roald Dahl,,Roald Dahl ; Quentin Blake,The BFG,,,England,Puffin,2007,,Giants--Juvenile fiction,Children's fiction ; Humour or satire,English
Language material ; Text,Volume,9780141322643,Roald Dahl,,Roald Dahl ; Quentin Blake,The witches,,,England,Puffin,2007,,Witches--Juvenile fiction,Children's fiction,English
Language material ; Text,Volume,9780141322650,Roald Dahl,,Roald Dahl ; Quentin Blake,Fantastic Mr Fox,,,England,Puffin,2007,,Foxes--Juvenile fiction,Children's fiction,English
Language material ; Text,Volume,9780141322667,Roald Dahl,,Roald Dahl ; Quentin Blake,Matilda,,,England,Puffin,2007,,,Children's fiction ; Humour or satire,English
Language material ; Text,Volume,9780141322674,Roald Dahl,,Roald Dahl ; Quentin Blake,Danny the champion of the world,,,England,Puffin,2007,,Poaching--Juvenile fiction,Children's fiction,English
Language material ; Text,Volume,9780141322698,Roald Dahl,,Roald Dahl ; Quentin Blake,Charlie and the great glass elevator,,,England,Puffin,2007,,"Bucket, Charlie (Fictitious character)--Juvenile fiction",Adventure ; Children's fiction,English
Language material ; Text,Volume,9780141322711,Roald Dahl,,Roald Dahl ; Quentin Blake,Charlie and the chocolate factory,,,England,Puffin,2007,,"Bucket, Charlie (Fictitious character)--Juvenile fiction",Adventure ; Children's fiction,English
Language material ; Text,Volume,9780141322735,Roald Dahl,,Roald Dahl ; Quentin Blake,George's marvellous medicine,,,England,Puffin,2007,,,Children's fiction ; Humour or satire,English
Language material ; Text,Volume,9780141322759,Roald Dahl,,Roald Dahl ; Quentin Blake,The Twits,,,England,Puffin,2007,,,Children's fiction,English
Language material ; Text,Volume,9781845021603,Roald Dahl,,Roald Dahl ; Quentin Blake,Geordie's mingin medicine,George's marvellous medicine. Scots,,Scotland,Itchy Coo,2007,,,Children's fiction ; Humour or satire,Scots
Language material ; Text,Volume,9781405661584,Roald Dahl,,Roald Dahl ; Quentin Blake,Fantastic Mr Fox,,,England,Galaxy,2007,Large print edition,Foxes--Juvenile fiction,Children's fiction ; Large print,English
Language material ; Text,Volume,9780141322636,Roald Dahl,,Roald Dahl ; Quentin Blake,James and the giant peach,,,England,Puffin,2007,"New edition, illustrated by Quentin Blake",,Children's fiction,English
Language material ; Text,Volume,,Barry Farrell,,,Pat and Roald,,,United States of America,Random House,1969,,"Married people--Great Britain--Biography ; Roald Dahl ; Neal, Patricia, 1926- ; Actors--United States--Biography ; Authors, English--20th century--Biography",,English
Language material ; Text,Volume,9781405661553,Roald Dahl,,Roald Dahl ; Quentin Blake,The magic finger,,,England,Galaxy,2007,Large print edition,,Children's fiction ; Large print,English
Language material ; Text,Volume,,Roald Dahl,,Hilda Barberis ; Elisabeth Gaspar ; Roald Dahl,Bizarre! Bizarre!,Someone like you. French,,France,Gallimard,1962,,,,French
Language material ; Text,Volume,,Roald Dahl,,M. Rambaud; Roald Dahl,La grande entourloupe,,,,Gallimard,1976,,,,English
Language material ; Text,Volume,9782354940010,,,"Joie par les livres ; Trunel, Lucile  ; Vidal-Naquet, Jacques  ; Bibliothèque nationale de France (organisation) ; Centre national du livre pour enfants (organisation)",L'univers de Roald Dahl : actes du colloque,,,France,Centre national du livre pour enfants ; Joie par les livres,2007,,Roald Dahl--Criticism and interpretation--Congresses ; English young adult literature--20th century--Criticism,Congress,English ; French
Language material ; Text,Volume,9781845021986,Roald Dahl,,Roald Dahl ; Quentin Blake,The sleekit Mr Tod,Fantastic Mr Fox. Scots,,Scotland,Itchy Coo,2008,,,Children's fiction,Scots
Language material ; Text,Volume,9780194792615,John Escott,author,H. G. (Herbert George) Wells ; William Frederick Temple ; Christopher Fowler ; Roald Dahl ; William Hope Hodgson ; Saki ; John Escott ; Robert Aickman ; George Langelaan,The fly and other horror stories,Cooking the books ; Fly ; Landlady ; Laura ; Ringing the changes ; Stolen body ; Voice in the night ; Whispering gallery,Oxford bookworms library. Fantasy & horror. Stage 6,England,Oxford University Press,2008,,Horror tales ; Readers--Horror tales,Horror,English
Language material ; Text,Volume,9781407100401,Celia Warren,,,Activities based on Matilda by Roald Dahl,,"Read & respond. KS2, Scottish P4-7",England,Scholastic,2008,,Reading (Elementary) ; Roald Dahl,,English
Language material ; Text,Volume,9781407100432,Gill Howell,,,Activities based on George's marvellous medicine by Roald Dahl,,"Read and respond. KS2, Scottish P4-7",England,Scholastic,2008,,Reading (Elementary) ; Roald Dahl,,English
Language material ; Text,Volume,9780224070904,Roald Dahl,,,Roald Dahl notebook,,,England ; United Kingdom,Random House,2007,,,,English
Language material ; Text,Volume,9780141501758,Roald Dahl,,Roald Dahl ; Quentin Blake,Revolting rhymes,,,England,Puffin,2008,,"Children's poetry, English",,English
Language material ; Text,Volume,9780141501765,Roald Dahl,,Roald Dahl ; Quentin Blake,The enormous crocodile,,Picture Puffins,England,Puffin,2008,,Crocodiles--Pictorial works--Juvenile fiction,Children's fiction ; Humour or satire ; Pictorial work,English
Language material ; Text,Volume,9780141501772,Roald Dahl,,Roald Dahl ; Quentin Blake,The giraffe and the pelly and me,,Picture Puffins,England,Puffin,2008,,Pelicans--Pictorial works--Juvenile fiction ; Giraffes--Pictorial works--Juvenile fiction,Children's fiction ; Humour or satire ; Pictorial work,English
Language material ; Text,Volume,9780141501789,Roald Dahl,,Patrick Benson ; Roald Dahl,The minpins,,Picture Puffins,England,Puffin,2008,,Dwarfs--Pictorial works--Juvenile fiction,Children's fiction ; Pictorial work,English
Language material ; Text,Volume,9781904357049,Roald Dahl,,Quentin Blake ; Elin Meek ; Roald Dahl,Y gwrachod,Witches. Welsh,,Wales,Rily Publications,2008,,Witches--Juvenile fiction,Children's fiction,Welsh
Language material ; Text,Volume,9780141322681,Roald Dahl,,Roald Dahl ; Quentin Blake,The magic finger,,,England,Puffin,2008,"New edition, illustrated by Quentin Blake",,Children's fiction,English
Language material ; Text,Volume,9780141322728,Roald Dahl,,,The complete adventures of Charlie and Mr Willy Wonka,Charlie and the chocolate factory ; Charlie and the great glass elevator,,England,Puffin,2008,,"Charlie (Fictitious character)--Juvenile fiction ; Children's stories, English",Children's fiction,English
Language material ; Text,Volume,9780141322742,Roald Dahl,,Roald Dahl ; Quentin Blake,Going solo,,,England,Puffin,2008,New edition,"Roald Dahl--Juvenile literature ; Novelists, English--20th century--Biography--Juvenile literature",Biography ; Children's literature,English
Language material ; Text,Volume,9780141322766,Roald Dahl,,,Boy : tales of childhood,,,England,Puffin,2008,New edition,"Roald Dahl--Childhood and youth--Juvenile literature ; Novelists, English--20th century--Biography--Juvenile literature",Biography ; Children's literature,English
Language material ; Text,Volume,9780141322773,Roald Dahl,,,"Boy : and, Going solo",Going solo,,England,Puffin,2008,,"Roald Dahl--Juvenile literature ; Authors, English--20th century--Biography--Juvenile literature",Biography ; Children's literature,English
Language material ; Text,Volume,9780141322780,Roald Dahl,,Roald Dahl ; Quentin Blake,The giraffe and the pelly and me,,A young Puffin story book,England,Puffin,2008,,Pelicans--Juvenile fiction ; Giraffes--Juvenile fiction,Children's fiction ; Humour or satire,English
Language material ; Text,Volume,9780141322797,Roald Dahl,,Roald Dahl ; Quentin Blake,Esio trot,,,England,Puffin,2008,,,Children's fiction,English
Language material ; Text,Volume,9780141323602,Roald Dahl,,Roald Dahl ; Quentin Blake,Rhyme stew,,,England,Puffin,2008,,"Fairy tales ; Children's poetry, English",,English
Language material ; Text,Volume,9780141323756,Roald Dahl,,Roald Dahl ; Quentin Blake,The enormous crocodile,,,England,Puffin,2008,,Crocodiles--Juvenile fiction,Children's fiction ; Humour or satire,English
Language material ; Text,Volume,9780141324470,Roald Dahl,,,More about Boy : Roald Dahl's tales from childhood,,,England,Puffin,2008,New edition,"Roald Dahl--Juvenile literature ; Authors, English--20th century--Biography--Juvenile literature",Biography ; Children's literature,English
Language material ; Text,Volume,9780141324975,Sylvia Bond,,Sylvia Bond ; Richard Maher ; Quentin Blake,The Roald Dahl quiz book,,,England,Puffin,2008,New edition,"Children's stories, English--Miscellanea ; Roald Dahl--Miscellanea--Juvenile literature ; Children's questions and answers",Children's literature,English
Language material ; Text,Volume,9780141325460,Roald Dahl,,,Roald Dahl's scrumdidlyumptious story collection,Scrumdidlyumptious story collection,,England,Puffin,2008,,"Children's stories, English",,English
Language material ; Text,Volume,9781405876766,John Escott,,John Escott ; Roald Dahl,Matilda,Matilda (Motion picture),Penguin readers. Level 3,England,Pearson,2008,,Readers (Secondary),,English
Language material ; Text,Volume,9780743294584,Jennet Conant,,Jennet Conant ,The irregulars : Roald Dahl and the British spy ring in wartime Washington,,,England ; United States of America,Simon & Schuster,2008,1st Simon and Schuster hardcover edition,"World War, 1939-1945--Secret service--Great Britain ; Great Britain--British Security Coordination ; Roald Dahl--Career in espionage ; World War, 1939-1945--Propaganda ; Propaganda, British--United States ; World War, 1939-1945--Secret service--United States",,English
Language material ; Text,Volume,9781407102115,Charlotte Raby,,,Activities based on Charlie and the chocolate factory by Roald Dahl,,"Read & respond. KS2, Scottish P4-7",England,Scholastic,2009,,Literacy--Study and teaching (Elementary)--Activity programs--Great Britain ; Roald Dahl,,English
Language material ; Text,Volume,9780955841415,Roald Dahl,,Quentin Blake ; Christine De Luca ; Roald Dahl,Dodie's phenomenal pheesic,George's marvellous medicine. Scots,,Scotland,Hansel Cooperative Press ; Inta Shetland,2008,,,,Scots
Language material ; Text,Volume,9780743294584,Jennet Conant,,,The irregulars : Roald Dahl and the British spy ring in wartime Washington,,,England,Simon & Schuster,2008,,"World War, 1939-1945--Secret service--Great Britain ; Great Britain--British Security Coordination ; Roald Dahl--Career in espionage ; World War, 1939-1945--Propaganda ; Propaganda, British--United States ; World War, 1939-1945--Secret service--United States",,English
Language material ; Text,Volume,9780199119615,"Shavick, Andrea",,Alan Marks ; Andrea Shavick,Roald Dahl : the champion storyteller,,True lives,England,Oxford University Press,2009,,"Roald Dahl--Juvenile literature ; Authors, English--20th century--Biography--Juvenile literature",Biography ; Children's literature,English
Language material ; Text,Volume,9781904357056,Roald Dahl,,Quentin Blake ; Elin Meek ; Roald Dahl,Matilda,Matilda. Welsh,,Wales,Rily Publications,2008,,Magic--Juvenile fiction,Children's fiction ; Humour or satire,Welsh
Language material ; Text,Volume,9780237539016,Chris Powling,,,Roald Dahl,,Start-up English. Biographies,England,Evans,2009,,"Roald Dahl--Juvenile literature ; Novelists, English--20th century--Biography--Juvenile literature",Biography ; Children's literature,English
Language material ; Text,Volume,9780141501741,Roald Dahl,,Roald Dahl ; Quentin Blake,Dirty beasts,,,England,Puffin,2009,,"Humorous poetry, English ; Children's poetry, English",,English
Language material ; Text,Volume,9781405882545,Michael Caldon,author,Michael Caldon ; Roald Dahl,Taste and other tales,,Penguin readers. Level 5,England,Pearson,2008,New edition,Readers (Adult),,English
